x,y,z
0.00,-9999.30,1000.00
0.00,-9948.89,1000.00
0.00,-9898.47,1000.00
0.00,-9848.06,1000.00
0.00,-9797.64,1000.00
0.00,-9747.23,1000.00
0.00,-9696.82,1000.00
0.00,-9646.40,1000.00
0.00,-9595.99,1000.00
0.00,-9545.57,1000.00
0.00,-9495.16,1000.00
0.00,-9444.75,1000.00
0.00,-9394.33,1000.00
0.00,-9343.92,1000.00
0.00,-9293.50,1000.00
0.00,-9243.09,1000.00
2.11,-9192.76,1000.00
13.37,-9143.75,1000.00
31.59,-9096.76,1000.00
46.36,-9048.58,1000.00
62.07,-9000.70,1000.00
77.46,-8952.70,1000.00
92.87,-8904.72,1000.00
108.35,-8856.77,1000.00
123.80,-8808.82,1000.00
139.24,-8760.86,1000.00
154.68,-8712.91,1000.00
170.13,-8664.96,1000.00
185.57,-8617.00,1000.00
201.02,-8569.05,1000.00
216.46,-8521.10,1000.00
231.91,-8473.14,1000.00
247.35,-8425.19,1000.00
262.80,-8377.24,1000.00
278.24,-8329.29,1000.00
293.69,-8281.33,1000.00
309.13,-8233.38,1000.00
324.58,-8185.42,1000.00
340.02,-8137.43,1000.00
355.46,-8089.44,1000.00
370.91,-8041.46,1000.00
386.35,-7993.47,1000.00
401.80,-7945.48,1000.00
417.24,-7897.49,1000.00
432.69,-7849.50,1000.00
448.13,-7801.51,1000.00
463.58,-7753.53,1000.00
479.02,-7705.54,1000.00
494.47,-7657.55,1000.00
509.91,-7609.56,1000.00
525.36,-7561.57,1000.00
540.80,-7513.58,1000.00
556.25,-7465.60,1000.00
571.70,-7417.61,1000.00
587.14,-7369.62,1000.00
602.59,-7321.63,1000.00
618.04,-7273.64,1000.00
633.48,-7225.66,1000.00
648.93,-7177.67,1000.00
664.38,-7129.68,1000.00
679.82,-7081.69,1000.00
695.27,-7033.70,1000.00
710.72,-6985.71,1000.00
726.16,-6937.73,1000.00
741.61,-6889.74,1000.00
757.06,-6841.75,1000.00
772.50,-6793.76,1000.00
787.95,-6745.77,1000.00
803.40,-6697.78,1000.00
818.84,-6649.80,1000.00
834.29,-6601.81,1000.00
849.74,-6553.82,1000.00
865.18,-6505.83,1000.00
880.63,-6457.84,1000.00
896.08,-6409.85,1000.00
911.52,-6361.87,1000.00
926.97,-6313.88,1000.00
942.42,-6265.89,1000.00
957.86,-6217.90,1000.00
973.31,-6169.91,1000.00
988.76,-6121.92,1000.00
1004.20,-6073.94,1000.00
1019.65,-6025.95,1000.00
1035.09,-5977.96,1000.00
1050.54,-5929.97,1000.00
1065.98,-5881.98,1000.00
1081.42,-5834.00,1000.00
1096.86,-5786.01,1000.00
1112.31,-5738.02,1000.00
1127.75,-5690.03,1000.00
1143.19,-5642.04,1000.00
1158.63,-5594.05,1000.00
1174.08,-5546.07,1000.00
1189.52,-5498.08,1000.00
1204.96,-5450.09,1000.00
1220.40,-5402.10,1000.00
1235.85,-5354.11,1000.00
1251.29,-5306.12,1000.00
1266.73,-5258.14,1000.00
1282.17,-5210.15,1000.00
1297.61,-5162.16,1000.00
1313.06,-5114.17,1000.00
1328.50,-5066.18,1000.00
1343.94,-5018.19,1000.00
1359.38,-4970.21,1000.00
1374.83,-4922.22,1000.00
1390.27,-4874.23,1000.00
1405.71,-4826.24,1000.00
1421.15,-4778.25,1000.00
1436.60,-4730.26,1000.00
1452.04,-4682.28,1000.00
1467.48,-4634.29,1000.00
1482.92,-4586.30,1000.00
1498.37,-4538.31,1000.00
1513.81,-4490.32,1000.00
1529.25,-4442.33,1000.00
1544.69,-4394.35,1000.00
1560.14,-4346.36,1000.00
1575.58,-4298.37,1000.00
1591.03,-4250.38,1000.00
1606.48,-4202.39,1000.00
1621.93,-4154.41,1000.00
1637.38,-4106.42,1000.00
1652.83,-4058.44,1000.00
1668.28,-4010.47,1000.00
1683.72,-3962.50,1000.00
1699.17,-3914.53,1000.00
1714.62,-3866.56,1000.00
1730.06,-3818.59,1000.00
1745.51,-3770.62,1000.00
1760.96,-3722.65,1000.00
1776.40,-3674.68,1000.00
1791.85,-3626.71,1000.00
1807.30,-3578.74,1000.00
1822.74,-3530.76,1000.00
1838.19,-3482.79,1000.00
1853.64,-3434.82,1000.00
1869.08,-3386.85,1000.00
1884.53,-3338.88,1000.00
1899.98,-3290.91,1000.00
1915.42,-3242.94,1000.00
1930.87,-3194.97,1000.00
1946.32,-3147.00,1000.00
1961.76,-3099.03,1000.00
1977.21,-3051.06,1000.00
1992.66,-3003.09,1000.00
2008.10,-2955.12,1000.00
2023.55,-2907.15,1000.00
2039.00,-2859.18,1000.00
2054.45,-2811.20,1000.00
2069.90,-2763.23,1000.00
2085.35,-2715.26,1000.00
2100.80,-2667.29,1000.00
2116.25,-2619.32,1000.00
2131.70,-2571.35,1000.00
2147.15,-2523.38,1000.00
2162.60,-2475.41,1000.00
2178.06,-2427.44,1000.00
2193.51,-2379.47,1000.00
2208.96,-2331.50,1000.00
2224.41,-2283.53,1000.00
2239.86,-2235.56,1000.00
2255.31,-2187.59,1000.00
2270.76,-2139.61,1000.00
2286.21,-2091.64,1000.00
2301.66,-2043.67,1000.00
2317.12,-1995.70,1000.00
2332.57,-1947.73,1000.00
2348.02,-1899.76,1000.00
2363.47,-1851.79,1000.00
2378.92,-1803.82,1000.00
2394.37,-1755.85,1000.00
2409.82,-1707.88,1000.00
2425.27,-1659.91,1000.00
2440.73,-1611.94,1000.00
2456.18,-1563.97,1000.00
2471.63,-1516.00,1000.00
2487.08,-1468.02,1000.00
2502.53,-1420.05,1000.00
2517.98,-1372.08,1000.00
2533.43,-1324.11,1000.00
2548.88,-1276.14,1000.00
2564.33,-1228.17,1000.00
2579.79,-1180.20,1000.00
2595.24,-1132.23,1000.00
2610.69,-1084.26,1000.00
2626.14,-1036.29,1000.00
2641.59,-988.31,1000.00
2657.04,-940.34,1000.00
2672.49,-892.36,1000.00
2687.94,-844.39,1000.00
2703.40,-796.41,1000.00
2718.85,-748.44,1000.00
2734.30,-700.46,1000.00
2749.75,-652.49,1000.00
2765.20,-604.51,1000.00
2780.65,-556.54,1000.00
2796.10,-508.56,1000.00
2811.55,-460.59,1000.00
2827.00,-412.61,1000.00
2842.46,-364.64,1000.00
2857.91,-316.66,1000.00
2873.36,-268.69,1000.00
2888.81,-220.71,1000.00
2904.26,-172.74,1000.00
2919.71,-124.76,1000.00
2935.16,-76.79,1000.00
2950.61,-28.81,1000.00
2966.07,19.16,1000.00
2981.52,67.14,1000.00
2996.97,115.11,1000.00
3012.42,163.09,1000.00
3027.87,211.06,1000.00
3043.32,259.04,1000.00
3058.77,307.01,1000.00
3074.22,354.99,1000.00
3089.67,402.96,1000.00
3105.13,450.94,1000.00
3120.58,498.91,1000.00
3136.03,546.89,1000.00
3151.48,594.86,1000.00
3166.93,642.84,1000.00
3182.38,690.81,1000.00
3197.83,738.79,1000.00
3213.28,786.76,1000.00
3228.73,834.74,1000.00
3244.18,882.71,1000.00
3259.63,930.69,1000.00
3275.08,978.66,1000.00
3290.53,1026.64,1000.00
3305.99,1074.62,1000.00
3321.44,1122.60,1000.00
3336.89,1170.58,1000.00
3352.34,1218.56,1000.00
3367.79,1266.54,1000.00
3383.24,1314.52,1000.00
3398.69,1362.50,1000.00
3414.14,1410.48,1000.00
3429.60,1458.46,1000.00
3445.05,1506.43,1000.00
3460.49,1554.41,1000.00
3475.94,1602.39,1000.00
3491.38,1650.37,1000.00
3506.82,1698.35,1000.00
3522.26,1746.33,1000.00
3537.71,1794.31,1000.00
3553.15,1842.29,1000.00
3568.59,1890.27,1000.00
3584.03,1938.25,1000.00
3599.47,1986.23,1000.00
3614.92,2034.21,1000.00
3630.36,2082.18,1000.00
3645.80,2130.15,1000.00
3661.24,2178.12,1000.00
3676.69,2226.09,1000.00
3692.13,2274.07,1000.00
3707.57,2322.04,1000.00
3723.01,2370.01,1000.00
3738.46,2417.98,1000.00
3753.90,2465.95,1000.00
3769.34,2513.92,1000.00
3784.78,2561.89,1000.00
3800.22,2609.86,1000.00
3815.67,2657.83,1000.00
3831.11,2705.80,1000.00
3846.55,2753.77,1000.00
