x,y,z
0.00,-9999.45,1000.00
0.00,-9949.42,1000.00
0.00,-9899.39,1000.00
0.00,-9849.35,1000.00
0.00,-9799.32,1000.00
0.00,-9749.29,1000.00
0.00,-9699.26,1000.00
0.00,-9649.22,1000.00
0.00,-9599.19,1000.00
0.00,-9549.16,1000.00
0.00,-9499.13,1000.00
0.00,-9449.10,1000.00
0.00,-9399.06,1000.00
0.00,-9349.03,1000.00
0.00,-9299.00,1000.00
0.00,-9248.97,1000.00
0.00,-9198.93,1000.00
0.00,-9148.90,1000.00
0.00,-9098.87,1000.00
0.00,-9048.84,1000.00
0.00,-8998.81,1000.00
0.00,-8948.77,1000.00
0.00,-8898.74,1000.00
0.00,-8848.71,1000.00
0.00,-8798.68,1000.00
0.00,-8748.64,1000.00
0.00,-8698.61,1000.00
0.00,-8648.58,1000.00
0.00,-8598.55,1000.00
0.00,-8548.52,1000.00
0.00,-8498.48,1000.00
0.00,-8448.45,1000.00
0.00,-8398.42,1000.00
0.00,-8348.39,1000.00
0.00,-8298.35,1000.00
0.00,-8248.32,1000.00
0.00,-8198.29,1000.00
0.00,-8148.26,1000.00
0.00,-8098.23,1000.00
0.00,-8048.19,1000.00
0.00,-7998.16,1000.00
0.00,-7948.13,1000.00
0.00,-7898.10,1000.00
0.00,-7848.06,1000.00
0.00,-7798.03,1000.00
0.00,-7748.00,1000.00
0.00,-7697.97,1000.00
0.00,-7647.94,1000.00
0.00,-7597.90,1000.00
0.00,-7547.87,1000.00
0.00,-7497.84,1000.00
0.00,-7447.81,1000.00
0.00,-7397.77,1000.00
0.00,-7347.74,1000.00
0.00,-7297.71,1000.00
0.00,-7247.68,1000.00
0.00,-7197.65,1000.00
0.00,-7147.61,1000.00
0.00,-7097.58,1000.00
0.00,-7047.55,1000.00
0.00,-6997.52,1000.00
0.00,-6947.48,1000.00
0.00,-6897.45,1000.00
0.00,-6847.42,1000.00
0.00,-6797.39,1000.00
0.00,-6747.36,1000.00
0.00,-6697.32,1000.00
0.00,-6647.29,1000.00
0.00,-6597.26,1000.00
0.00,-6547.23,1000.00
0.00,-6497.19,1000.00
0.00,-6447.16,1000.00
0.00,-6397.13,1000.00
0.00,-6347.10,1000.00
0.00,-6297.07,1000.00
0.00,-6247.03,1000.00
0.00,-6197.00,1000.00
0.00,-6146.97,1000.00
0.00,-6096.94,1000.00
0.00,-6046.90,1000.00
0.00,-5996.87,1000.00
0.00,-5946.84,1000.00
0.00,-5896.81,1000.00
0.00,-5846.78,1000.00
0.00,-5796.74,1000.00
0.00,-5746.71,1000.00
0.00,-5696.68,1000.00
0.00,-5646.65,1000.00
0.00,-5596.61,1000.00
0.00,-5546.58,1000.00
0.00,-5496.55,1000.00
0.00,-5446.52,1000.00
0.00,-5396.49,1000.00
0.00,-5346.45,1000.00
0.00,-5296.42,1000.00
0.00,-5246.39,1000.00
0.00,-5196.36,1000.00
0.00,-5146.32,1000.00
0.00,-5096.29,1000.00
0.00,-5046.26,1000.00
0.00,-4996.23,1000.00
0.00,-4946.20,1000.00
0.00,-4896.16,1000.00
0.00,-4846.13,1000.00
0.00,-4796.10,1000.00
0.00,-4746.07,1000.00
0.00,-4696.03,1000.00
0.00,-4646.00,1000.00
0.00,-4595.97,1000.00
0.00,-4545.94,1000.00
0.00,-4495.91,1000.00
0.00,-4445.87,1000.00
0.00,-4395.84,1000.00
0.00,-4345.81,1000.00
0.00,-4295.78,1000.00
0.00,-4245.74,1000.00
0.00,-4195.71,1000.00
0.00,-4145.68,1000.00
0.00,-4095.65,1000.00
0.00,-4045.59,1000.00
0.00,-3995.54,1000.00
