x,y,z
0.00,-19998.80,1000.00
0.00,-19898.07,1000.00
0.00,-19797.33,1000.00
0.00,-19696.60,1000.00
0.00,-19595.86,1000.00
0.00,-19495.13,1000.00
0.00,-19394.39,1000.00
0.00,-19293.66,1000.00
0.00,-19192.93,1000.00
0.00,-19092.19,1000.00
0.00,-18991.46,1000.00
0.00,-18890.72,1000.00
0.00,-18789.99,1000.00
0.00,-18689.25,1000.00
0.00,-18588.52,1000.00
0.00,-18487.79,1000.00
0.00,-18387.05,1000.00
0.00,-18286.32,1000.00
0.00,-18185.58,1000.00
0.00,-18084.85,1000.00
0.00,-17984.11,1000.00
0.00,-17883.38,1000.00
0.00,-17782.64,1000.00
0.00,-17681.91,1000.00
0.00,-17581.18,1000.00
0.00,-17480.44,1000.00
0.00,-17379.71,1000.00
0.00,-17278.97,1000.00
0.00,-17178.24,1000.00
0.00,-17077.50,1000.00
0.00,-16976.77,1000.00
0.00,-16876.04,1000.00
0.00,-16775.30,1000.00
0.00,-16674.57,1000.00
0.00,-16573.83,1000.00
0.00,-16473.10,1000.00
0.00,-16372.35,1000.00
0.00,-16271.54,1000.00
0.00,-16170.72,1000.00
0.00,-16069.90,1000.00
0.00,-15969.09,1000.00
0.00,-15868.27,1000.00
0.00,-15767.46,1000.00
0.00,-15666.64,1000.00
0.00,-15565.82,1000.00
0.00,-15465.01,1000.00
0.00,-15364.19,1000.00
0.00,-15263.37,1000.00
0.00,-15162.56,1000.00
0.00,-15061.74,1000.00
0.00,-14960.92,1000.00
0.00,-14860.11,1000.00
0.00,-14759.29,1000.00
0.00,-14658.47,1000.00
0.00,-14557.66,1000.00
0.00,-14456.84,1000.00
0.00,-14356.03,1000.00
0.00,-14255.21,1000.00
0.00,-14154.39,1000.00
0.00,-14053.58,1000.00
0.00,-13952.76,1000.00
0.00,-13851.94,1000.00
0.00,-13751.13,1000.00
0.00,-13650.31,1000.00
0.00,-13549.49,1000.00
0.00,-13448.68,1000.00
0.00,-13347.86,1000.00
0.00,-13247.04,1000.00
0.00,-13146.23,1000.00
0.00,-13045.41,1000.00
0.00,-12944.60,1000.00
0.00,-12843.78,1000.00
0.00,-12742.96,1000.00
0.00,-12642.15,1000.00
0.00,-12541.33,1000.00
0.00,-12440.51,1000.00
0.00,-12339.70,1000.00
0.00,-12238.88,1000.00
0.00,-12138.06,1000.00
0.00,-12037.25,1000.00
0.00,-11936.43,1000.00
0.00,-11835.62,1000.00
0.00,-11734.80,1000.00
0.00,-11633.98,1000.00
0.00,-11533.17,1000.00
0.00,-11432.35,1000.00
0.00,-11331.53,1000.00
0.00,-11230.72,1000.00
0.00,-11129.90,1000.00
0.00,-11029.08,1000.00
0.00,-10928.27,1000.00
0.00,-10827.45,1000.00
0.00,-10726.63,1000.00
0.00,-10625.82,1000.00
0.00,-10525.00,1000.00
0.00,-10424.19,1000.00
0.00,-10323.37,1000.00
0.00,-10222.55,1000.00
0.00,-10121.74,1000.00
0.00,-10020.92,1000.00
0.00,-9920.10,1000.00
0.00,-9819.29,1000.00
0.00,-9718.47,1000.00
0.00,-9617.65,1000.00
0.00,-9516.84,1000.00
0.00,-9416.02,1000.00
0.00,-9315.21,1000.00
0.00,-9214.39,1000.00
0.00,-9113.57,1000.00
0.00,-9012.76,1000.00
0.00,-8911.94,1000.00
0.00,-8811.12,1000.00
0.00,-8710.31,1000.00
0.00,-8609.49,1000.00
0.00,-8508.67,1000.00
0.00,-8407.86,1000.00
0.00,-8307.04,1000.00
0.00,-8206.22,1000.00
0.00,-8105.41,1000.00
0.00,-8004.59,1000.00
0.00,-7903.78,1000.00
0.00,-7802.96,1000.00
0.00,-7702.14,1000.00
0.00,-7601.33,1000.00
0.00,-7500.51,1000.00
0.00,-7399.69,1000.00
0.00,-7298.88,1000.00
0.00,-7198.06,1000.00
0.00,-7097.24,1000.00
0.00,-6996.43,1000.00
0.00,-6895.61,1000.00
0.00,-6794.79,1000.00
0.00,-6693.98,1000.00
0.00,-6593.16,1000.00
0.00,-6492.35,1000.00
0.00,-6391.53,1000.00
0.00,-6290.71,1000.00
0.00,-6189.90,1000.00
0.00,-6089.08,1000.00
0.00,-5988.26,1000.00
0.00,-5887.45,1000.00
0.00,-5786.63,1000.00
0.00,-5685.81,1000.00
0.00,-5585.00,1000.00
0.00,-5484.18,1000.00
0.00,-5383.37,1000.00
0.00,-5282.55,1000.00
0.00,-5181.73,1000.00
0.00,-5080.92,1000.00
0.00,-4980.10,1000.00
0.00,-4879.28,1000.00
0.00,-4778.47,1000.00
0.00,-4677.65,1000.00
0.00,-4576.83,1000.00
0.00,-4476.02,1000.00
0.00,-4375.20,1000.00
0.00,-4274.38,1000.00
0.00,-4173.57,1000.00
0.00,-4072.76,1000.00
0.00,-3971.96,1000.00
0.00,-3871.17,1000.00
0.00,-3770.37,1000.00
0.00,-3669.57,1000.00
0.00,-3568.78,1000.00
0.00,-3467.98,1000.00
0.00,-3367.19,1000.00
0.00,-3266.39,1000.00
0.00,-3165.59,1000.00
0.00,-3064.80,1000.00
0.00,-2964.00,1000.00
0.00,-2863.21,1000.00
0.00,-2762.41,1000.00
0.00,-2661.61,1000.00
0.00,-2560.82,1000.00
0.00,-2460.02,1000.00
0.00,-2359.23,1000.00
0.00,-2258.43,1000.00
0.00,-2157.63,1000.00
0.00,-2056.84,1000.00
0.00,-1956.04,1000.00
0.00,-1855.25,1000.00
0.00,-1754.45,1000.00
0.00,-1653.66,1000.00
0.00,-1552.86,1000.00
0.00,-1452.06,1000.00
0.00,-1351.27,1000.00
0.00,-1250.47,1000.00
0.00,-1149.68,1000.00
0.00,-1048.88,1000.00
0.00,-948.08,1000.00
0.00,-847.28,1000.00
0.00,-746.48,1000.00
