x,y,z
0.00,-19999.00,1000.00
0.00,-19899.00,1000.00
0.00,-19799.00,1000.00
0.00,-19699.00,1000.00
0.00,-19599.00,1000.00
0.00,-19499.00,1000.00
0.00,-19399.00,1000.00
0.00,-19299.00,1000.00
0.00,-19199.00,1000.00
0.00,-19099.00,1000.00
0.00,-18999.00,1000.00
0.00,-18899.00,1000.00
0.00,-18799.00,1000.00
0.00,-18699.00,1000.00
0.00,-18599.00,1000.00
0.00,-18499.00,1000.00
2.04,-18399.03,1000.00
12.46,-18299.61,1000.00
24.34,-18200.33,1000.00
34.44,-18100.82,1000.00
44.97,-18001.40,1000.00
55.59,-17901.99,1000.00
66.12,-17802.58,1000.00
76.65,-17703.16,1000.00
87.18,-17603.75,1000.00
97.71,-17504.33,1000.00
108.25,-17404.92,1000.00
118.78,-17305.51,1000.00
129.31,-17206.09,1000.00
139.84,-17106.68,1000.00
150.37,-17007.26,1000.00
160.90,-16907.85,1000.00
171.44,-16808.44,1000.00
181.97,-16709.02,1000.00
192.50,-16609.61,1000.00
203.03,-16510.19,1000.00
213.56,-16410.78,1000.00
224.09,-16311.37,1000.00
234.63,-16211.95,1000.00
245.16,-16112.54,1000.00
255.69,-16013.12,1000.00
266.22,-15913.71,1000.00
276.75,-15814.29,1000.00
287.28,-15714.88,1000.00
297.82,-15615.47,1000.00
308.35,-15516.05,1000.00
318.88,-15416.64,1000.00
329.41,-15317.22,1000.00
339.94,-15217.81,1000.00
350.47,-15118.40,1000.00
361.00,-15018.98,1000.00
371.54,-14919.57,1000.00
382.07,-14820.15,1000.00
392.60,-14720.74,1000.00
403.13,-14621.33,1000.00
413.66,-14521.91,1000.00
424.19,-14422.50,1000.00
434.73,-14323.08,1000.00
445.26,-14223.67,1000.00
455.79,-14124.26,1000.00
466.32,-14024.84,1000.00
476.85,-13925.43,1000.00
487.38,-13826.01,1000.00
497.92,-13726.60,1000.00
508.45,-13627.19,1000.00
518.98,-13527.77,1000.00
529.52,-13428.36,1000.00
540.05,-13328.94,1000.00
550.58,-13229.53,1000.00
561.12,-13130.12,1000.00
571.65,-13030.70,1000.00
582.19,-12931.29,1000.00
592.72,-12831.87,1000.00
603.25,-12732.46,1000.00
613.78,-12633.04,1000.00
624.31,-12533.63,1000.00
634.84,-12434.22,1000.00
645.37,-12334.80,1000.00
655.89,-12235.39,1000.00
666.42,-12135.97,1000.00
676.95,-12036.56,1000.00
687.48,-11937.15,1000.00
698.01,-11837.73,1000.00
708.54,-11738.32,1000.00
719.07,-11638.90,1000.00
729.59,-11539.49,1000.00
740.12,-11440.08,1000.00
750.65,-11340.66,1000.00
761.18,-11241.25,1000.00
771.71,-11141.83,1000.00
782.24,-11042.42,1000.00
792.77,-10943.01,1000.00
803.29,-10843.59,1000.00
813.82,-10744.18,1000.00
824.35,-10644.76,1000.00
834.88,-10545.35,1000.00
845.41,-10445.94,1000.00
855.94,-10346.52,1000.00
866.47,-10247.11,1000.00
876.99,-10147.69,1000.00
887.52,-10048.28,1000.00
898.05,-9948.87,1000.00
908.58,-9849.45,1000.00
919.11,-9750.04,1000.00
929.64,-9650.62,1000.00
940.17,-9551.21,1000.00
950.69,-9451.79,1000.00
961.22,-9352.38,1000.00
971.75,-9252.97,1000.00
982.28,-9153.55,1000.00
992.81,-9054.14,1000.00
1003.34,-8954.72,1000.00
1013.87,-8855.31,1000.00
1024.39,-8755.90,1000.00
1034.93,-8656.48,1000.00
1045.46,-8557.07,1000.00
1056.00,-8457.65,1000.00
1066.53,-8358.24,1000.00
1077.07,-8258.83,1000.00
1087.60,-8159.40,1000.00
1098.14,-8059.93,1000.00
1108.67,-7960.47,1000.00
1119.21,-7861.01,1000.00
1129.74,-7761.54,1000.00
1140.28,-7662.08,1000.00
1150.81,-7562.62,1000.00
1161.34,-7463.16,1000.00
1171.88,-7363.69,1000.00
1182.41,-7264.23,1000.00
1192.95,-7164.77,1000.00
1203.48,-7065.30,1000.00
1214.02,-6965.84,1000.00
1224.55,-6866.38,1000.00
1235.09,-6766.92,1000.00
1245.62,-6667.45,1000.00
1256.16,-6567.99,1000.00
1266.69,-6468.53,1000.00
1277.23,-6369.06,1000.00
1287.76,-6269.60,1000.00
1298.30,-6170.14,1000.00
1308.83,-6070.68,1000.00
1319.36,-5971.21,1000.00
1329.90,-5871.75,1000.00
1340.43,-5772.29,1000.00
1350.97,-5672.82,1000.00
1361.50,-5573.36,1000.00
1372.04,-5473.90,1000.00
1382.57,-5374.44,1000.00
1393.11,-5274.97,1000.00
1403.64,-5175.51,1000.00
1414.18,-5076.05,1000.00
1424.71,-4976.58,1000.00
1435.25,-4877.12,1000.00
1445.78,-4777.66,1000.00
1456.32,-4678.19,1000.00
1466.85,-4578.73,1000.00
1477.37,-4479.27,1000.00
1487.90,-4379.81,1000.00
1498.42,-4280.34,1000.00
1508.94,-4180.88,1000.00
1519.46,-4081.42,1000.00
1529.99,-3981.98,1000.00
1540.51,-3882.54,1000.00
1551.03,-3783.11,1000.00
1561.55,-3683.67,1000.00
1572.08,-3584.23,1000.00
1582.60,-3484.79,1000.00
1593.12,-3385.35,1000.00
1603.64,-3285.91,1000.00
1614.17,-3186.47,1000.00
1624.69,-3087.04,1000.00
1635.21,-2987.60,1000.00
1645.73,-2888.16,1000.00
1656.26,-2788.72,1000.00
1666.78,-2689.28,1000.00
1677.30,-2589.84,1000.00
1687.83,-2490.41,1000.00
1698.36,-2390.97,1000.00
1708.90,-2291.53,1000.00
1719.43,-2192.09,1000.00
1729.97,-2092.65,1000.00
1740.50,-1993.21,1000.00
1751.04,-1893.77,1000.00
1761.57,-1794.34,1000.00
1772.11,-1694.90,1000.00
1782.64,-1595.46,1000.00
1793.18,-1496.02,1000.00
1803.71,-1396.58,1000.00
1814.24,-1297.14,1000.00
1824.76,-1197.71,1000.00
1835.28,-1098.27,1000.00
1845.80,-998.83,1000.00
1856.32,-899.38,1000.00
1866.85,-799.94,1000.00
1877.37,-700.49,1000.00
1887.89,-601.05,1000.00
1898.41,-501.60,1000.00
1908.94,-402.16,1000.00
1919.46,-302.71,1000.00
1929.99,-203.27,1000.00
1940.53,-103.83,1000.00
1951.06,-4.38,1000.00
1961.60,95.06,1000.00
1972.13,194.51,1000.00
1982.66,293.95,1000.00
1993.20,393.40,1000.00
2003.72,492.84,1000.00
2014.24,592.28,1000.00
2024.77,691.73,1000.00
2035.29,791.17,1000.00
2045.81,890.62,1000.00
2056.33,990.06,1000.00
2066.85,1089.50,1000.00
2077.38,1188.94,1000.00
2087.90,1288.38,1000.00
2098.42,1387.82,1000.00
2108.94,1487.26,1000.00
2119.47,1586.70,1000.00
2130.01,1686.13,1000.00
2140.54,1785.57,1000.00
2151.08,1885.01,1000.00
2161.61,1984.45,1000.00
2172.15,2083.89,1000.00
2180.62,2183.51,1000.00
2180.67,2283.48,1000.00
2179.24,2383.46,1000.00
2179.58,2483.46,1000.00
2179.49,2583.46,1000.00
2179.33,2683.46,1000.00
2179.23,2783.46,1000.00
2179.11,2883.46,1000.00
2179.01,2983.46,1000.00
2178.92,3083.46,1000.00
2178.82,3183.46,1000.00
2178.72,3283.46,1000.00
2178.62,3383.46,1000.00
2178.53,3483.46,1000.00
2178.43,3583.46,1000.00
2178.33,3683.46,1000.00
2178.23,3783.46,1000.00
2178.14,3883.46,1000.00
2178.04,3983.46,1000.00
2177.94,4083.46,1000.00
2177.84,4183.46,1000.00
2177.74,4283.46,1000.00
2177.65,4383.46,1000.00
2177.55,4483.46,1000.00
2177.45,4583.46,1000.00
2177.35,4683.46,1000.00
2177.26,4783.46,1000.00
2177.16,4883.46,1000.00
2177.06,4983.46,1000.00
2176.96,5083.46,1000.00
2176.87,5183.46,1000.00
2176.77,5283.46,1000.00
2176.67,5383.46,1000.00
2176.57,5483.46,1000.00
2176.48,5583.46,1000.00
2176.38,5683.46,1000.00
2176.28,5783.46,1000.00
2176.18,5883.46,1000.00
2176.08,5983.46,1000.00
2175.99,6083.46,1000.00
2175.89,6183.46,1000.00
2175.79,6283.46,1000.00
2175.69,6383.46,1000.00
2175.60,6483.46,1000.00
2175.50,6583.46,1000.00
2175.40,6683.46,1000.00
2175.30,6783.46,1000.00
2175.21,6883.46,1000.00
2175.11,6983.46,1000.00
2175.01,7083.46,1000.00
2174.91,7183.46,1000.00
2174.82,7283.46,1000.00
2174.72,7383.46,1000.00
2174.62,7483.46,1000.00
2174.52,7583.46,1000.00
2174.42,7683.46,1000.00
2174.33,7783.46,1000.00
2174.23,7883.46,1000.00
2174.13,7983.46,1000.00
2174.03,8083.46,1000.00
2173.94,8183.46,1000.00
2173.84,8283.46,1000.00
2173.74,8383.46,1000.00
2173.64,8483.46,1000.00
2173.55,8583.46,1000.00
2173.45,8683.46,1000.00
2173.35,8783.46,1000.00
2173.25,8883.46,1000.00
2173.16,8983.46,1000.00
2173.06,9083.46,1000.00
2172.96,9183.46,1000.00
2172.86,9283.46,1000.00
2172.76,9383.46,1000.00
2172.67,9483.46,1000.00
2172.57,9583.46,1000.00
2172.47,9683.46,1000.00
2172.37,9783.46,1000.00
2172.28,9883.46,1000.00
2172.18,9983.46,1000.00
2172.08,10083.46,1000.00
2171.98,10183.46,1000.00
2171.89,10283.46,1000.00
2171.79,10383.46,1000.00
2171.69,10483.46,1000.00
2171.59,10583.46,1000.00
