x,y,z
0.00,-19999.00,1000.00
0.00,-19899.00,1000.00
0.00,-19799.00,1000.00
0.00,-19699.00,1000.00
0.00,-19599.00,1000.00
0.00,-19499.00,1000.00
0.00,-19399.00,1000.00
0.00,-19299.00,1000.00
0.00,-19199.00,1000.00
0.00,-19099.00,1000.00
0.00,-18999.00,1000.00
0.00,-18899.00,1000.00
0.00,-18799.00,1000.00
0.00,-18699.00,1000.00
0.00,-18599.00,1000.00
0.00,-18499.00,1000.00
0.00,-18399.00,1000.00
0.00,-18299.00,1000.00
0.00,-18199.00,1000.00
0.00,-18099.00,1000.00
0.00,-17999.00,1000.00
0.00,-17899.00,1000.00
0.00,-17799.00,1000.00
0.00,-17699.00,1000.00
0.00,-17599.00,1000.00
0.00,-17499.00,1000.00
0.00,-17399.00,1000.00
0.00,-17299.00,1000.00
0.00,-17199.00,1000.00
0.00,-17099.00,1000.00
0.00,-16999.00,1000.00
0.00,-16899.00,1000.00
0.00,-16799.00,1000.00
0.00,-16699.00,1000.00
0.00,-16599.00,1000.00
0.00,-16499.00,1000.00
0.00,-16399.00,1000.00
0.00,-16299.00,1000.00
0.00,-16199.00,1000.00
0.00,-16099.00,1000.00
0.00,-15999.00,1000.00
0.00,-15899.00,1000.00
0.00,-15799.00,1000.00
0.00,-15699.00,1000.00
0.00,-15599.00,1000.00
0.00,-15499.00,1000.00
0.00,-15399.00,1000.00
0.00,-15299.00,1000.00
0.00,-15199.00,1000.00
0.00,-15099.00,1000.00
0.00,-14999.00,1000.00
0.00,-14899.00,1000.00
0.00,-14799.00,1000.00
0.00,-14699.00,1000.00
0.00,-14599.00,1000.00
0.00,-14499.00,1000.00
0.00,-14399.00,1000.00
0.00,-14299.00,1000.00
0.00,-14199.00,1000.00
0.00,-14099.00,1000.00
0.00,-13999.00,1000.00
0.00,-13899.00,1000.00
0.00,-13799.00,1000.00
0.00,-13699.00,1000.00
0.00,-13599.00,1000.00
0.00,-13499.00,1000.00
0.00,-13399.00,1000.00
0.00,-13299.00,1000.00
0.00,-13199.00,1000.00
0.00,-13099.00,1000.00
0.00,-12999.00,1000.00
0.00,-12899.00,1000.00
0.00,-12799.00,1000.00
0.00,-12699.00,1000.00
0.00,-12599.00,1000.00
0.00,-12499.00,1000.00
0.00,-12399.00,1000.00
0.00,-12299.00,1000.00
0.00,-12199.00,1000.00
0.00,-12099.00,1000.00
0.00,-11999.00,1000.00
0.00,-11899.00,1000.00
0.00,-11799.00,1000.00
0.00,-11699.00,1000.00
0.00,-11599.00,1000.00
0.00,-11499.00,1000.00
0.00,-11399.00,1000.00
0.00,-11299.00,1000.00
0.00,-11199.00,1000.00
0.00,-11099.00,1000.00
0.00,-10999.00,1000.00
0.00,-10899.00,1000.00
0.00,-10799.00,1000.00
0.00,-10699.00,1000.00
0.00,-10599.00,1000.00
0.00,-10499.00,1000.00
0.00,-10399.00,1000.00
0.00,-10299.00,1000.00
0.00,-10199.00,1000.00
0.00,-10099.00,1000.00
0.00,-9999.00,1000.00
0.00,-9899.00,1000.00
0.00,-9799.00,1000.00
0.00,-9699.00,1000.00
0.00,-9599.00,1000.00
0.00,-9499.00,1000.00
0.00,-9399.00,1000.00
0.00,-9299.00,1000.00
0.00,-9199.00,1000.00
0.00,-9099.00,1000.00
0.00,-8999.00,1000.00
0.00,-8899.00,1000.00
0.00,-8799.00,1000.00
0.00,-8699.00,1000.00
0.00,-8599.00,1000.00
0.00,-8499.00,1000.00
0.00,-8399.00,1000.00
0.00,-8299.00,1000.00
0.00,-8199.00,1000.00
0.00,-8099.00,1000.00
0.00,-7999.00,1000.00
0.00,-7899.00,1000.00
0.00,-7799.00,1000.00
0.00,-7699.00,1000.00
0.00,-7599.00,1000.00
0.00,-7499.00,1000.00
0.00,-7399.00,1000.00
0.00,-7299.00,1000.00
0.00,-7199.00,1000.00
0.00,-7099.00,1000.00
0.00,-6999.00,1000.00
0.00,-6899.00,1000.00
0.00,-6799.00,1000.00
0.00,-6699.00,1000.00
0.00,-6599.00,1000.00
0.00,-6499.00,1000.00
0.00,-6399.00,1000.00
0.00,-6299.00,1000.00
0.00,-6199.00,1000.00
0.00,-6099.00,1000.00
0.00,-5999.00,1000.00
0.00,-5899.00,1000.00
0.00,-5799.00,1000.00
0.00,-5699.00,1000.00
0.00,-5599.00,1000.00
0.00,-5499.00,1000.00
0.00,-5399.00,1000.00
0.00,-5299.00,1000.00
0.00,-5199.00,1000.00
0.00,-5099.00,1000.00
0.00,-4999.00,1000.00
0.00,-4899.00,1000.00
0.00,-4799.00,1000.00
0.00,-4699.00,1000.00
0.00,-4599.00,1000.00
0.00,-4499.00,1000.00
0.00,-4399.00,1000.00
0.00,-4299.00,1000.00
0.00,-4199.00,1000.00
0.00,-4099.00,1000.00
0.00,-3999.00,1000.00
0.00,-3899.00,1000.00
0.00,-3799.00,1000.00
0.00,-3699.00,1000.00
0.00,-3599.00,1000.00
0.00,-3499.00,1000.00
0.00,-3399.00,1000.00
0.00,-3299.00,1000.00
0.00,-3199.00,1000.00
0.00,-3099.00,1000.00
0.00,-2999.00,1000.00
0.00,-2899.00,1000.00
0.00,-2799.00,1000.00
0.00,-2699.00,1000.00
0.00,-2599.00,1000.00
0.00,-2499.00,1000.00
0.00,-2399.00,1000.00
0.00,-2299.00,1000.00
0.00,-2199.00,1000.00
0.00,-2099.00,1000.00
0.00,-1999.00,1000.00
0.00,-1899.00,1000.00
0.00,-1799.00,1000.00
0.00,-1699.00,1000.00
0.00,-1599.00,1000.00
0.00,-1499.00,1000.00
0.00,-1399.00,1000.00
0.00,-1299.00,1000.00
0.00,-1199.00,1000.00
0.00,-1099.00,1000.00
0.00,-999.00,1000.00
0.00,-899.00,1000.00
0.00,-799.00,1000.00
0.00,-699.00,1000.00
0.00,-599.00,1000.00
0.00,-499.00,1000.00
0.00,-399.00,1000.00
0.00,-299.00,1000.00
0.00,-199.00,1000.00
0.00,-99.00,1000.00
