x,y,z
0.00,-19998.60,1000.00
0.00,-19897.77,1000.00
0.00,-19796.94,1000.00
0.00,-19696.12,1000.00
0.00,-19595.29,1000.00
0.00,-19494.46,1000.00
0.00,-19393.63,1000.00
0.00,-19292.80,1000.00
0.00,-19191.97,1000.00
0.00,-19091.15,1000.00
0.00,-18990.32,1000.00
0.00,-18889.49,1000.00
0.00,-18788.66,1000.00
0.00,-18687.83,1000.00
0.00,-18587.01,1000.00
0.00,-18486.18,1000.00
0.00,-18385.35,1000.00
0.00,-18284.52,1000.00
0.00,-18183.69,1000.00
0.00,-18082.87,1000.00
0.00,-17982.04,1000.00
0.00,-17881.21,1000.00
0.00,-17780.38,1000.00
0.00,-17679.55,1000.00
0.00,-17578.72,1000.00
0.00,-17477.90,1000.00
0.00,-17377.07,1000.00
0.00,-17276.24,1000.00
0.00,-17175.41,1000.00
0.00,-17074.58,1000.00
0.00,-16973.76,1000.00
0.00,-16872.93,1000.00
0.00,-16772.10,1000.00
0.00,-16671.27,1000.00
0.00,-16570.44,1000.00
0.00,-16469.62,1000.00
0.00,-16368.79,1000.00
0.00,-16267.96,1000.00
0.00,-16167.13,1000.00
0.00,-16066.30,1000.00
0.00,-15965.47,1000.00
0.00,-15864.65,1000.00
0.00,-15763.82,1000.00
0.00,-15662.99,1000.00
0.00,-15562.16,1000.00
0.00,-15461.33,1000.00
0.00,-15360.51,1000.00
0.00,-15259.68,1000.00
0.00,-15158.85,1000.00
0.00,-15058.02,1000.00
0.00,-14957.19,1000.00
0.00,-14856.37,1000.00
0.00,-14755.54,1000.00
0.00,-14654.71,1000.00
0.00,-14553.88,1000.00
0.00,-14453.05,1000.00
0.00,-14352.22,1000.00
0.00,-14251.40,1000.00
0.00,-14150.57,1000.00
0.00,-14049.74,1000.00
0.00,-13948.91,1000.00
0.00,-13848.08,1000.00
0.00,-13747.26,1000.00
0.00,-13646.43,1000.00
0.00,-13545.60,1000.00
0.00,-13444.77,1000.00
0.00,-13343.94,1000.00
0.00,-13243.12,1000.00
0.00,-13142.29,1000.00
0.00,-13041.46,1000.00
0.00,-12940.63,1000.00
0.00,-12839.80,1000.00
0.00,-12738.97,1000.00
0.00,-12638.15,1000.00
0.00,-12537.32,1000.00
0.00,-12436.49,1000.00
0.00,-12335.66,1000.00
0.00,-12234.83,1000.00
0.00,-12134.01,1000.00
0.00,-12033.18,1000.00
0.00,-11932.35,1000.00
0.00,-11831.52,1000.00
0.00,-11730.69,1000.00
0.00,-11629.87,1000.00
0.00,-11529.04,1000.00
0.00,-11428.21,1000.00
0.00,-11327.38,1000.00
0.00,-11226.55,1000.00
0.00,-11125.72,1000.00
0.00,-11024.90,1000.00
0.00,-10924.07,1000.00
0.00,-10823.24,1000.00
0.00,-10722.41,1000.00
0.00,-10621.58,1000.00
0.00,-10520.76,1000.00
0.00,-10419.93,1000.00
0.00,-10319.10,1000.00
0.00,-10218.27,1000.00
0.00,-10117.44,1000.00
0.00,-10016.62,1000.00
0.00,-9915.79,1000.00
0.00,-9814.96,1000.00
0.00,-9714.13,1000.00
0.00,-9613.30,1000.00
0.00,-9512.47,1000.00
0.00,-9411.65,1000.00
