x,y,z
0.00,-9999.40,1000.00
0.00,-9949.03,1000.00
0.00,-9898.67,1000.00
0.00,-9848.30,1000.00
0.00,-9797.93,1000.00
0.00,-9747.56,1000.00
0.00,-9697.20,1000.00
0.00,-9646.83,1000.00
0.00,-9596.46,1000.00
0.00,-9546.10,1000.00
0.00,-9495.73,1000.00
0.00,-9445.36,1000.00
0.00,-9394.99,1000.00
0.00,-9344.63,1000.00
0.00,-9294.26,1000.00
0.00,-9243.89,1000.00
0.00,-9193.53,1000.00
0.00,-9143.16,1000.00
0.00,-9092.79,1000.00
0.00,-9042.42,1000.00
0.00,-8992.06,1000.00
0.00,-8941.69,1000.00
0.00,-8891.32,1000.00
0.00,-8840.96,1000.00
0.00,-8790.59,1000.00
0.00,-8740.22,1000.00
0.00,-8689.85,1000.00
0.00,-8639.49,1000.00
0.00,-8589.12,1000.00
0.00,-8538.75,1000.00
0.00,-8488.38,1000.00
0.00,-8438.02,1000.00
0.00,-8387.65,1000.00
0.00,-8337.28,1000.00
0.00,-8286.92,1000.00
0.00,-8236.55,1000.00
0.00,-8186.18,1000.00
0.00,-8135.77,1000.00
0.00,-8085.36,1000.00
0.00,-8034.95,1000.00
0.00,-7984.54,1000.00
0.00,-7934.14,1000.00
0.00,-7883.73,1000.00
0.00,-7833.32,1000.00
0.00,-7782.91,1000.00
0.00,-7732.50,1000.00
0.00,-7682.09,1000.00
0.00,-7631.69,1000.00
0.00,-7581.28,1000.00
0.00,-7530.87,1000.00
0.00,-7480.46,1000.00
0.00,-7430.05,1000.00
0.00,-7379.65,1000.00
0.00,-7329.24,1000.00
0.00,-7278.83,1000.00
0.00,-7228.42,1000.00
0.00,-7178.01,1000.00
0.00,-7127.60,1000.00
0.00,-7077.20,1000.00
0.00,-7026.79,1000.00
0.00,-6976.38,1000.00
0.00,-6925.97,1000.00
0.00,-6875.56,1000.00
0.00,-6825.16,1000.00
0.00,-6774.75,1000.00
0.00,-6724.34,1000.00
0.00,-6673.93,1000.00
0.00,-6623.52,1000.00
0.00,-6573.11,1000.00
0.00,-6522.71,1000.00
0.00,-6472.30,1000.00
0.00,-6421.89,1000.00
0.00,-6371.48,1000.00
0.00,-6321.07,1000.00
0.00,-6270.67,1000.00
0.00,-6220.26,1000.00
0.00,-6169.85,1000.00
0.00,-6119.44,1000.00
0.00,-6069.03,1000.00
0.00,-6018.62,1000.00
0.00,-5968.22,1000.00
0.00,-5917.81,1000.00
0.00,-5867.40,1000.00
0.00,-5816.99,1000.00
0.00,-5766.58,1000.00
0.00,-5716.17,1000.00
0.00,-5665.77,1000.00
0.00,-5615.36,1000.00
0.00,-5564.95,1000.00
0.00,-5514.54,1000.00
0.00,-5464.13,1000.00
0.00,-5413.73,1000.00
0.00,-5363.32,1000.00
0.00,-5312.91,1000.00
0.00,-5262.50,1000.00
0.00,-5212.09,1000.00
0.00,-5161.68,1000.00
0.00,-5111.28,1000.00
0.00,-5060.87,1000.00
0.00,-5010.46,1000.00
0.00,-4960.05,1000.00
0.00,-4909.64,1000.00
0.00,-4859.24,1000.00
0.00,-4808.83,1000.00
0.00,-4758.42,1000.00
0.00,-4708.01,1000.00
0.00,-4657.60,1000.00
0.00,-4607.19,1000.00
0.00,-4556.79,1000.00
0.00,-4506.38,1000.00
0.00,-4455.97,1000.00
0.00,-4405.56,1000.00
0.00,-4355.15,1000.00
0.00,-4304.75,1000.00
0.00,-4254.34,1000.00
0.00,-4203.93,1000.00
0.00,-4153.52,1000.00
0.00,-4103.11,1000.00
0.00,-4052.70,1000.00
0.00,-4002.30,1000.00
0.00,-3951.89,1000.00
0.00,-3901.48,1000.00
0.00,-3851.07,1000.00
0.00,-3800.66,1000.00
0.00,-3750.25,1000.00
0.00,-3699.85,1000.00
0.00,-3649.44,1000.00
0.00,-3599.03,1000.00
0.00,-3548.62,1000.00
0.00,-3498.21,1000.00
0.00,-3447.81,1000.00
0.00,-3397.40,1000.00
0.00,-3346.99,1000.00
0.00,-3296.58,1000.00
0.00,-3246.17,1000.00
0.00,-3195.76,1000.00
0.00,-3145.36,1000.00
0.00,-3094.95,1000.00
0.00,-3044.54,1000.00
0.00,-2994.13,1000.00
0.00,-2943.72,1000.00
0.00,-2893.32,1000.00
0.00,-2842.91,1000.00
0.00,-2792.50,1000.00
0.00,-2742.09,1000.00
0.00,-2691.68,1000.00
0.00,-2641.27,1000.00
0.00,-2590.87,1000.00
0.00,-2540.46,1000.00
0.00,-2490.05,1000.00
0.00,-2439.64,1000.00
0.00,-2389.23,1000.00
0.00,-2338.83,1000.00
0.00,-2288.42,1000.00
0.00,-2238.01,1000.00
0.00,-2187.60,1000.00
0.00,-2137.19,1000.00
0.00,-2086.78,1000.00
0.00,-2036.38,1000.00
0.00,-1985.98,1000.00
0.00,-1935.58,1000.00
0.00,-1885.18,1000.00
0.00,-1834.79,1000.00
0.00,-1784.39,1000.00
0.00,-1733.99,1000.00
0.00,-1683.59,1000.00
0.00,-1633.19,1000.00
0.00,-1582.80,1000.00
0.00,-1532.40,1000.00
0.00,-1482.00,1000.00
0.00,-1431.60,1000.00
0.00,-1381.21,1000.00
0.00,-1330.81,1000.00
0.00,-1280.41,1000.00
0.00,-1230.01,1000.00
0.00,-1179.61,1000.00
0.00,-1129.22,1000.00
0.00,-1078.82,1000.00
0.00,-1028.42,1000.00
0.00,-978.02,1000.00
0.00,-927.62,1000.00
0.00,-877.23,1000.00
0.00,-826.83,1000.00
0.00,-776.43,1000.00
0.00,-726.03,1000.00
0.00,-675.63,1000.00
0.00,-625.24,1000.00
0.00,-574.84,1000.00
0.00,-524.44,1000.00
0.00,-474.04,1000.00
0.00,-423.64,1000.00
0.00,-373.24,1000.00
0.00,-322.84,1000.00
0.00,-272.44,1000.00
0.00,-222.04,1000.00
0.00,-171.64,1000.00
0.00,-121.24,1000.00
0.00,-70.84,1000.00
0.00,-21.04,1000.00
