x,y,z
0.00,-19996.70,1000.00
0.00,-19894.38,1000.00
0.00,-19792.05,1000.00
0.00,-19689.73,1000.00
0.00,-19587.40,1000.00
0.00,-19485.08,1000.00
0.00,-19382.75,1000.00
0.00,-19280.43,1000.00
0.00,-19178.11,1000.00
0.00,-19075.78,1000.00
0.00,-18973.46,1000.00
0.00,-18871.13,1000.00
0.00,-18768.81,1000.00
0.00,-18666.48,1000.00
0.00,-18564.16,1000.00
0.00,-18461.84,1000.00
0.00,-18359.51,1000.00
0.00,-18257.19,1000.00
0.00,-18154.86,1000.00
0.00,-18052.54,1000.00
0.00,-17950.21,1000.00
0.00,-17847.89,1000.00
0.00,-17745.57,1000.00
0.00,-17643.24,1000.00
0.00,-17540.92,1000.00
0.00,-17438.59,1000.00
0.00,-17336.27,1000.00
0.00,-17233.95,1000.00
0.00,-17131.62,1000.00
0.00,-17029.30,1000.00
0.00,-16926.97,1000.00
0.00,-16824.65,1000.00
0.00,-16722.32,1000.00
0.00,-16620.00,1000.00
0.00,-16517.68,1000.00
0.00,-16415.35,1000.00
0.00,-16313.05,1000.00
0.00,-16210.75,1000.00
0.00,-16108.46,1000.00
0.00,-16006.17,1000.00
0.00,-15903.87,1000.00
0.00,-15801.58,1000.00
0.00,-15699.29,1000.00
0.00,-15596.99,1000.00
0.00,-15494.70,1000.00
0.00,-15392.40,1000.00
0.00,-15290.11,1000.00
0.00,-15187.82,1000.00
0.00,-15085.52,1000.00
0.00,-14983.23,1000.00
0.00,-14880.93,1000.00
0.00,-14778.64,1000.00
0.00,-14676.35,1000.00
0.00,-14574.05,1000.00
0.00,-14471.76,1000.00
0.00,-14369.46,1000.00
0.00,-14267.17,1000.00
0.00,-14164.88,1000.00
0.00,-14062.58,1000.00
0.00,-13960.29,1000.00
0.00,-13857.99,1000.00
0.00,-13755.70,1000.00
0.00,-13653.41,1000.00
0.00,-13551.11,1000.00
0.00,-13448.82,1000.00
0.00,-13346.52,1000.00
0.00,-13244.23,1000.00
0.00,-13141.94,1000.00
0.00,-13039.64,1000.00
0.00,-12937.35,1000.00
0.00,-12835.05,1000.00
0.00,-12732.76,1000.00
0.00,-12630.47,1000.00
0.00,-12528.17,1000.00
0.00,-12425.88,1000.00
0.00,-12323.58,1000.00
0.00,-12221.29,1000.00
0.00,-12119.00,1000.00
0.00,-12016.70,1000.00
0.00,-11914.41,1000.00
0.00,-11812.12,1000.00
0.00,-11709.82,1000.00
0.00,-11607.53,1000.00
0.00,-11505.23,1000.00
0.00,-11402.94,1000.00
0.00,-11300.65,1000.00
0.00,-11198.35,1000.00
0.00,-11096.06,1000.00
0.00,-10993.76,1000.00
0.00,-10891.47,1000.00
0.00,-10789.18,1000.00
0.00,-10686.88,1000.00
0.00,-10584.59,1000.00
0.00,-10482.29,1000.00
0.00,-10380.00,1000.00
0.00,-10277.71,1000.00
0.00,-10175.41,1000.00
0.00,-10073.12,1000.00
0.00,-9970.82,1000.00
0.00,-9868.53,1000.00
0.00,-9766.24,1000.00
0.00,-9663.94,1000.00
0.00,-9561.65,1000.00
0.00,-9459.35,1000.00
0.00,-9357.06,1000.00
0.00,-9254.77,1000.00
0.00,-9152.47,1000.00
0.00,-9050.18,1000.00
0.00,-8947.88,1000.00
0.00,-8845.59,1000.00
0.00,-8743.30,1000.00
0.00,-8641.00,1000.00
0.00,-8538.71,1000.00
0.00,-8436.42,1000.00
0.00,-8334.12,1000.00
0.00,-8231.83,1000.00
0.00,-8129.53,1000.00
0.00,-8027.24,1000.00
0.00,-7924.95,1000.00
0.00,-7822.65,1000.00
0.00,-7720.36,1000.00
0.00,-7618.06,1000.00
0.00,-7515.77,1000.00
0.00,-7413.48,1000.00
0.00,-7311.18,1000.00
0.00,-7208.89,1000.00
0.00,-7106.59,1000.00
