x,y,z
0.00,-9998.35,1000.00
0.00,-9947.19,1000.00
0.00,-9896.03,1000.00
0.00,-9844.86,1000.00
0.00,-9793.70,1000.00
0.00,-9742.54,1000.00
0.00,-9691.38,1000.00
0.00,-9640.21,1000.00
0.00,-9589.05,1000.00
0.00,-9537.89,1000.00
0.00,-9486.73,1000.00
0.00,-9435.57,1000.00
0.00,-9384.40,1000.00
0.00,-9333.24,1000.00
0.00,-9282.08,1000.00
0.00,-9230.92,1000.00
-4.64,-9180.12,1000.00
-27.25,-9134.68,1000.00
-64.08,-9099.31,1000.00
-101.39,-9064.37,1000.00
-134.37,-9025.28,1000.00
-169.28,-8987.90,1000.00
-203.47,-8949.87,1000.00
-237.84,-8911.98,1000.00
-272.25,-8874.14,1000.00
-306.60,-8836.24,1000.00
-340.99,-8798.38,1000.00
-375.37,-8760.51,1000.00
-409.75,-8722.64,1000.00
-444.13,-8684.76,1000.00
-478.51,-8646.89,1000.00
-512.89,-8609.02,1000.00
-547.27,-8571.15,1000.00
-581.65,-8533.28,1000.00
-616.03,-8495.40,1000.00
-650.41,-8457.53,1000.00
-684.79,-8419.66,1000.00
-719.17,-8381.79,1000.00
-753.55,-8343.92,1000.00
-787.93,-8306.04,1000.00
-822.30,-8268.17,1000.00
-856.68,-8230.30,1000.00
-891.06,-8192.43,1000.00
-925.44,-8154.56,1000.00
-959.82,-8116.68,1000.00
-994.20,-8078.81,1000.00
-1028.58,-8040.94,1000.00
-1062.96,-8003.07,1000.00
-1097.34,-7965.20,1000.00
-1131.72,-7927.32,1000.00
-1166.10,-7889.45,1000.00
-1200.48,-7851.58,1000.00
-1234.86,-7813.71,1000.00
-1269.24,-7775.83,1000.00
-1303.61,-7737.96,1000.00
-1337.99,-7700.09,1000.00
-1372.37,-7662.22,1000.00
-1406.75,-7624.35,1000.00
-1441.13,-7586.47,1000.00
-1475.51,-7548.60,1000.00
-1509.89,-7510.73,1000.00
-1544.27,-7472.86,1000.00
-1578.65,-7434.99,1000.00
-1613.03,-7397.11,1000.00
-1647.41,-7359.24,1000.00
-1681.79,-7321.37,1000.00
