x,y,z
0.00,-19996.70,1000.00
0.00,-19894.38,1000.00
0.00,-19792.05,1000.00
0.00,-19689.73,1000.00
0.00,-19587.40,1000.00
0.00,-19485.08,1000.00
0.00,-19382.75,1000.00
0.00,-19280.43,1000.00
0.00,-19178.11,1000.00
0.00,-19075.78,1000.00
0.00,-18973.46,1000.00
0.00,-18871.13,1000.00
0.00,-18768.81,1000.00
0.00,-18666.48,1000.00
0.00,-18564.16,1000.00
0.00,-18461.84,1000.00
2.32,-18359.57,1000.00
13.51,-18257.92,1000.00
25.41,-18156.33,1000.00
35.96,-18054.57,1000.00
46.68,-17952.84,1000.00
57.49,-17851.10,1000.00
68.28,-17749.38,1000.00
79.08,-17647.67,1000.00
89.87,-17545.95,1000.00
100.66,-17444.23,1000.00
111.45,-17342.51,1000.00
122.24,-17240.79,1000.00
133.03,-17139.07,1000.00
143.82,-17037.35,1000.00
154.62,-16935.63,1000.00
165.41,-16833.92,1000.00
176.20,-16732.20,1000.00
186.99,-16630.48,1000.00
197.78,-16528.76,1000.00
208.57,-16427.04,1000.00
219.36,-16325.32,1000.00
230.16,-16223.60,1000.00
240.95,-16121.88,1000.00
251.74,-16020.17,1000.00
262.53,-15918.45,1000.00
273.32,-15816.73,1000.00
284.11,-15715.01,1000.00
294.91,-15613.29,1000.00
305.70,-15511.57,1000.00
316.49,-15409.85,1000.00
327.28,-15308.13,1000.00
338.07,-15206.42,1000.00
348.86,-15104.70,1000.00
359.65,-15002.98,1000.00
370.45,-14901.26,1000.00
381.24,-14799.54,1000.00
392.03,-14697.82,1000.00
402.82,-14596.10,1000.00
413.61,-14494.38,1000.00
424.40,-14392.67,1000.00
435.20,-14290.95,1000.00
445.99,-14189.23,1000.00
456.78,-14087.51,1000.00
467.57,-13985.79,1000.00
478.36,-13884.07,1000.00
489.15,-13782.35,1000.00
499.94,-13680.63,1000.00
510.74,-13578.92,1000.00
521.53,-13477.20,1000.00
532.32,-13375.48,1000.00
543.11,-13273.76,1000.00
553.90,-13172.04,1000.00
564.69,-13070.32,1000.00
575.48,-12968.60,1000.00
586.27,-12866.88,1000.00
597.06,-12765.17,1000.00
607.85,-12663.45,1000.00
618.64,-12561.73,1000.00
629.43,-12460.01,1000.00
640.22,-12358.29,1000.00
651.01,-12256.57,1000.00
661.80,-12154.85,1000.00
672.59,-12053.13,1000.00
683.39,-11951.42,1000.00
694.18,-11849.70,1000.00
704.97,-11747.98,1000.00
715.76,-11646.26,1000.00
726.55,-11544.54,1000.00
737.34,-11442.82,1000.00
748.13,-11341.10,1000.00
758.92,-11239.38,1000.00
769.71,-11137.67,1000.00
780.50,-11035.95,1000.00
791.29,-10934.23,1000.00
802.08,-10832.51,1000.00
812.87,-10730.79,1000.00
823.66,-10629.07,1000.00
834.45,-10527.35,1000.00
845.24,-10425.63,1000.00
856.03,-10323.92,1000.00
866.83,-10222.20,1000.00
877.62,-10120.48,1000.00
888.41,-10018.76,1000.00
899.20,-9917.04,1000.00
909.99,-9815.32,1000.00
920.78,-9713.60,1000.00
931.57,-9611.88,1000.00
942.36,-9510.17,1000.00
953.15,-9408.45,1000.00
963.94,-9306.73,1000.00
974.73,-9205.01,1000.00
985.52,-9103.29,1000.00
996.31,-9001.57,1000.00
1007.10,-8899.85,1000.00
1017.89,-8798.13,1000.00
1028.69,-8696.42,1000.00
1039.48,-8594.70,1000.00
1050.27,-8492.98,1000.00
1061.06,-8391.26,1000.00
1071.86,-8289.54,1000.00
1082.65,-8187.82,1000.00
1093.44,-8086.09,1000.00
1104.23,-7984.35,1000.00
1115.03,-7882.62,1000.00
1125.82,-7780.89,1000.00
1136.61,-7679.15,1000.00
1147.40,-7577.42,1000.00
1158.19,-7475.68,1000.00
1168.99,-7373.95,1000.00
1179.78,-7272.22,1000.00
