x,y,z
0.00,-19998.40,1000.00
0.00,-19897.62,1000.00
0.00,-19796.85,1000.00
0.00,-19696.07,1000.00
0.00,-19595.30,1000.00
0.00,-19494.52,1000.00
0.00,-19393.75,1000.00
0.00,-19292.97,1000.00
0.00,-19192.20,1000.00
0.00,-19091.42,1000.00
0.00,-18990.65,1000.00
0.00,-18889.87,1000.00
0.00,-18789.10,1000.00
0.00,-18688.32,1000.00
0.00,-18587.54,1000.00
0.00,-18486.77,1000.00
0.00,-18385.99,1000.00
0.00,-18285.22,1000.00
0.00,-18184.44,1000.00
0.00,-18083.67,1000.00
0.00,-17982.89,1000.00
0.00,-17882.12,1000.00
0.00,-17781.34,1000.00
0.00,-17680.57,1000.00
0.00,-17579.79,1000.00
0.00,-17479.02,1000.00
0.00,-17378.24,1000.00
0.00,-17277.46,1000.00
0.00,-17176.69,1000.00
0.00,-17075.91,1000.00
0.00,-16975.14,1000.00
0.00,-16874.36,1000.00
0.00,-16773.59,1000.00
0.00,-16672.81,1000.00
0.00,-16572.04,1000.00
0.00,-16471.26,1000.00
0.00,-16370.49,1000.00
0.00,-16269.71,1000.00
0.00,-16168.94,1000.00
0.00,-16068.16,1000.00
0.00,-15967.38,1000.00
0.00,-15866.61,1000.00
0.00,-15765.83,1000.00
0.00,-15665.06,1000.00
0.00,-15564.28,1000.00
0.00,-15463.51,1000.00
0.00,-15362.73,1000.00
0.00,-15261.96,1000.00
0.00,-15161.18,1000.00
0.00,-15060.41,1000.00
0.00,-14959.63,1000.00
0.00,-14858.86,1000.00
0.00,-14758.08,1000.00
0.00,-14657.30,1000.00
0.00,-14556.53,1000.00
0.00,-14455.75,1000.00
0.00,-14354.98,1000.00
0.00,-14254.20,1000.00
0.00,-14153.43,1000.00
0.00,-14052.65,1000.00
0.00,-13951.88,1000.00
0.00,-13851.10,1000.00
0.00,-13750.33,1000.00
0.00,-13649.55,1000.00
0.00,-13548.78,1000.00
0.00,-13448.00,1000.00
0.00,-13347.22,1000.00
0.00,-13246.45,1000.00
0.00,-13145.67,1000.00
0.00,-13044.90,1000.00
0.00,-12944.12,1000.00
0.00,-12843.35,1000.00
0.00,-12742.57,1000.00
0.00,-12641.80,1000.00
0.00,-12541.02,1000.00
0.00,-12440.25,1000.00
0.00,-12339.47,1000.00
0.00,-12238.70,1000.00
0.00,-12137.92,1000.00
0.00,-12037.14,1000.00
0.00,-11936.37,1000.00
0.00,-11835.59,1000.00
0.00,-11734.82,1000.00
0.00,-11634.04,1000.00
0.00,-11533.27,1000.00
0.00,-11432.49,1000.00
0.00,-11331.72,1000.00
0.00,-11230.94,1000.00
0.00,-11130.17,1000.00
0.00,-11029.39,1000.00
0.00,-10928.62,1000.00
0.00,-10827.84,1000.00
0.00,-10727.06,1000.00
0.00,-10626.29,1000.00
0.00,-10525.51,1000.00
