x,y,z
0.00,-9999.40,1000.00
0.00,-9949.03,1000.00
0.00,-9898.67,1000.00
0.00,-9848.30,1000.00
0.00,-9797.93,1000.00
0.00,-9747.56,1000.00
0.00,-9697.20,1000.00
0.00,-9646.83,1000.00
0.00,-9596.46,1000.00
0.00,-9546.10,1000.00
0.00,-9495.73,1000.00
0.00,-9445.36,1000.00
0.00,-9394.99,1000.00
0.00,-9344.63,1000.00
0.00,-9294.26,1000.00
0.00,-9243.89,1000.00
4.18,-9193.79,1000.00
25.54,-9148.57,1000.00
61.31,-9113.21,1000.00
98.25,-9078.97,1000.00
130.88,-9040.57,1000.00
165.11,-9003.58,1000.00
198.80,-8966.10,1000.00
232.63,-8928.74,1000.00
266.43,-8891.35,1000.00
300.27,-8854.00,1000.00
334.10,-8816.64,1000.00
367.93,-8779.28,1000.00
401.76,-8741.96,1000.00
435.59,-8704.63,1000.00
469.42,-8667.31,1000.00
503.25,-8629.98,1000.00
537.08,-8592.66,1000.00
570.91,-8555.33,1000.00
604.74,-8518.01,1000.00
638.56,-8480.69,1000.00
672.39,-8443.36,1000.00
706.22,-8406.04,1000.00
740.05,-8368.71,1000.00
773.87,-8331.39,1000.00
807.70,-8294.06,1000.00
841.53,-8256.74,1000.00
875.36,-8219.42,1000.00
909.19,-8182.08,1000.00
943.01,-8144.72,1000.00
976.84,-8107.35,1000.00
1010.67,-8069.98,1000.00
1044.50,-8032.62,1000.00
1078.32,-7995.25,1000.00
1112.15,-7957.89,1000.00
1145.98,-7920.52,1000.00
1179.81,-7883.16,1000.00
1213.63,-7845.79,1000.00
1247.46,-7808.43,1000.00
1281.29,-7771.06,1000.00
1315.12,-7733.70,1000.00
1348.94,-7696.33,1000.00
1382.77,-7658.97,1000.00
1416.60,-7621.60,1000.00
1450.43,-7584.24,1000.00
1484.26,-7546.87,1000.00
1518.08,-7509.51,1000.00
1551.91,-7472.14,1000.00
1585.74,-7434.78,1000.00
1619.57,-7397.41,1000.00
1653.39,-7360.05,1000.00
1687.22,-7322.68,1000.00
1721.05,-7285.31,1000.00
1754.88,-7247.95,1000.00
1788.70,-7210.58,1000.00
1822.53,-7173.22,1000.00
1856.36,-7135.85,1000.00
1890.19,-7098.49,1000.00
1924.01,-7061.12,1000.00
1957.84,-7023.76,1000.00
1991.67,-6986.39,1000.00
2025.50,-6949.03,1000.00
2059.33,-6911.66,1000.00
2093.17,-6874.30,1000.00
2127.00,-6836.93,1000.00
2160.84,-6799.57,1000.00
2194.68,-6762.20,1000.00
2228.52,-6724.84,1000.00
2262.36,-6687.47,1000.00
2296.19,-6650.11,1000.00
2330.03,-6612.74,1000.00
2363.87,-6575.38,1000.00
2397.71,-6538.01,1000.00
2431.55,-6500.65,1000.00
2465.38,-6463.28,1000.00
2499.22,-6425.91,1000.00
2533.06,-6388.55,1000.00
2566.90,-6351.18,1000.00
2600.73,-6313.82,1000.00
2634.57,-6276.45,1000.00
2668.41,-6239.09,1000.00
2702.25,-6201.72,1000.00
2736.09,-6164.36,1000.00
2769.92,-6126.99,1000.00
2803.76,-6089.63,1000.00
2837.60,-6052.26,1000.00
2871.44,-6014.90,1000.00
2905.28,-5977.53,1000.00
2939.11,-5940.17,1000.00
2972.95,-5902.80,1000.00
3006.79,-5865.44,1000.00
3040.63,-5828.07,1000.00
3074.47,-5790.71,1000.00
3108.30,-5753.34,1000.00
3142.14,-5715.98,1000.00
3175.98,-5678.61,1000.00
3209.82,-5641.24,1000.00
3243.64,-5603.88,1000.00
3277.48,-5566.51,1000.00
3311.32,-5529.15,1000.00
3345.15,-5491.78,1000.00
3378.99,-5454.42,1000.00
3412.83,-5417.05,1000.00
3446.67,-5379.69,1000.00
3480.51,-5342.32,1000.00
3514.34,-5304.96,1000.00
3548.18,-5267.59,1000.00
3582.00,-5230.23,1000.00
3615.81,-5192.86,1000.00
3649.63,-5155.50,1000.00
3683.47,-5118.13,1000.00
3717.31,-5080.77,1000.00
3751.13,-5043.40,1000.00
3784.97,-5006.04,1000.00
3818.81,-4968.67,1000.00
3852.64,-4931.31,1000.00
3886.48,-4893.94,1000.00
3920.31,-4856.57,1000.00
3954.15,-4819.21,1000.00
3987.97,-4781.84,1000.00
4021.81,-4744.48,1000.00
4055.64,-4707.11,1000.00
4089.47,-4669.75,1000.00
4123.31,-4632.38,1000.00
4157.15,-4595.02,1000.00
4190.98,-4557.65,1000.00
4224.82,-4520.29,1000.00
4258.64,-4482.93,1000.00
4292.47,-4445.56,1000.00
4324.38,-4406.63,1000.00
4342.31,-4359.93,1000.00
4341.63,-4309.71,1000.00
4336.49,-4259.59,1000.00
4337.38,-4209.22,1000.00
4337.00,-4158.82,1000.00
4337.14,-4108.42,1000.00
4337.02,-4058.01,1000.00
4336.89,-4007.60,1000.00
4336.77,-3957.19,1000.00
4336.65,-3906.78,1000.00
4336.52,-3856.37,1000.00
4336.40,-3805.97,1000.00
4336.28,-3755.56,1000.00
4336.15,-3705.15,1000.00
4336.03,-3654.74,1000.00
4335.91,-3604.33,1000.00
4335.79,-3553.93,1000.00
4335.66,-3503.52,1000.00
4335.54,-3453.11,1000.00
4335.42,-3402.70,1000.00
4335.29,-3352.29,1000.00
4335.17,-3301.88,1000.00
4335.05,-3251.48,1000.00
4334.92,-3201.07,1000.00
4334.80,-3150.66,1000.00
4334.68,-3100.25,1000.00
4334.56,-3049.84,1000.00
4334.43,-2999.44,1000.00
4334.31,-2949.03,1000.00
4334.19,-2898.62,1000.00
4334.06,-2848.21,1000.00
4333.94,-2797.80,1000.00
4333.82,-2747.39,1000.00
4333.69,-2696.99,1000.00
4333.57,-2646.58,1000.00
4333.45,-2596.17,1000.00
4333.32,-2545.76,1000.00
4333.20,-2495.35,1000.00
4333.08,-2444.94,1000.00
4332.96,-2394.54,1000.00
4332.83,-2344.13,1000.00
4332.71,-2293.72,1000.00
4332.59,-2243.31,1000.00
4332.46,-2192.90,1000.00
4332.34,-2142.50,1000.00
4332.22,-2092.09,1000.00
4332.09,-2041.68,1000.00
4331.97,-1991.28,1000.00
4331.85,-1940.88,1000.00
4331.73,-1890.49,1000.00
4331.60,-1840.09,1000.00
4331.48,-1789.69,1000.00
4331.36,-1739.29,1000.00
4331.23,-1688.89,1000.00
4331.11,-1638.50,1000.00
4330.99,-1588.10,1000.00
4330.86,-1537.70,1000.00
4330.74,-1487.30,1000.00
4330.62,-1436.91,1000.00
4330.49,-1386.51,1000.00
4330.37,-1336.11,1000.00
4330.25,-1285.71,1000.00
4330.13,-1235.31,1000.00
4330.00,-1184.92,1000.00
4329.88,-1134.52,1000.00
4329.76,-1084.12,1000.00
4329.63,-1033.72,1000.00
4329.51,-983.32,1000.00
4329.39,-932.93,1000.00
4329.26,-882.53,1000.00
4329.14,-832.13,1000.00
4329.02,-781.73,1000.00
4328.90,-731.33,1000.00
4328.77,-680.94,1000.00
4328.65,-630.54,1000.00
4328.53,-580.14,1000.00
4328.40,-529.74,1000.00
4328.28,-479.34,1000.00
4328.16,-428.94,1000.00
4328.03,-378.54,1000.00
4327.91,-328.14,1000.00
4327.79,-277.74,1000.00
4327.66,-227.34,1000.00
4327.54,-176.94,1000.00
4327.42,-126.54,1000.00
4327.30,-76.14,1000.00
4327.17,-25.74,1000.00
4327.05,24.66,1000.00
4326.93,75.06,1000.00
4326.80,125.46,1000.00
4326.68,175.86,1000.00
4326.56,226.25,1000.00
4326.43,276.65,1000.00
4326.31,327.06,1000.00
4326.19,377.46,1000.00
4326.06,427.86,1000.00
4325.94,478.26,1000.00
4325.82,528.66,1000.00
4325.70,579.05,1000.00
4325.57,629.45,1000.00
4325.45,679.85,1000.00
4325.33,730.25,1000.00
4325.20,780.65,1000.00
4325.08,831.04,1000.00
4324.96,881.44,1000.00
4324.83,931.84,1000.00
4324.71,982.24,1000.00
4324.59,1032.64,1000.00
4324.47,1083.03,1000.00
4324.34,1133.43,1000.00
4324.22,1183.83,1000.00
4324.10,1234.23,1000.00
4323.97,1284.63,1000.00
4323.85,1335.02,1000.00
4323.73,1385.42,1000.00
4323.60,1435.82,1000.00
4323.48,1486.22,1000.00
4323.36,1536.62,1000.00
