x,y,z
0.00,-19998.90,1000.00
0.00,-19898.84,1000.00
0.00,-19798.77,1000.00
0.00,-19698.71,1000.00
0.00,-19598.64,1000.00
0.00,-19498.58,1000.00
0.00,-19398.51,1000.00
0.00,-19298.45,1000.00
0.00,-19198.38,1000.00
0.00,-19098.32,1000.00
0.00,-18998.26,1000.00
0.00,-18898.19,1000.00
0.00,-18798.13,1000.00
0.00,-18698.06,1000.00
0.00,-18598.00,1000.00
0.00,-18497.93,1000.00
-2.05,-18397.88,1000.00
-12.48,-18298.37,1000.00
-24.26,-18198.97,1000.00
-34.38,-18099.36,1000.00
-44.89,-17999.83,1000.00
-55.51,-17900.29,1000.00
-66.04,-17800.76,1000.00
-76.59,-17701.23,1000.00
-87.14,-17601.70,1000.00
-97.68,-17502.17,1000.00
-108.22,-17402.64,1000.00
-118.76,-17303.11,1000.00
-129.31,-17203.58,1000.00
-139.85,-17104.04,1000.00
-150.39,-17004.51,1000.00
-160.94,-16904.98,1000.00
-171.48,-16805.45,1000.00
-182.02,-16705.92,1000.00
-192.57,-16606.39,1000.00
-203.11,-16506.86,1000.00
-213.65,-16407.33,1000.00
-224.19,-16307.79,1000.00
-234.74,-16208.26,1000.00
-245.28,-16108.73,1000.00
-255.82,-16009.20,1000.00
-266.37,-15909.67,1000.00
-276.91,-15810.14,1000.00
-287.45,-15710.61,1000.00
-297.99,-15611.08,1000.00
-308.53,-15511.54,1000.00
-319.08,-15412.01,1000.00
-329.62,-15312.48,1000.00
-340.16,-15212.95,1000.00
-350.70,-15113.42,1000.00
-361.24,-15013.89,1000.00
-371.79,-14914.36,1000.00
-382.33,-14814.83,1000.00
-392.87,-14715.29,1000.00
-403.41,-14615.76,1000.00
-413.95,-14516.23,1000.00
-424.49,-14416.70,1000.00
-435.04,-14317.17,1000.00
-445.58,-14217.64,1000.00
-456.12,-14118.11,1000.00
-466.66,-14018.58,1000.00
-477.20,-13919.04,1000.00
-487.75,-13819.51,1000.00
-498.29,-13719.98,1000.00
-508.83,-13620.45,1000.00
-519.37,-13520.92,1000.00
-529.91,-13421.39,1000.00
-540.46,-13321.86,1000.00
-551.00,-13222.33,1000.00
-561.54,-13122.79,1000.00
-572.08,-13023.26,1000.00
-582.62,-12923.73,1000.00
-593.16,-12824.20,1000.00
-603.71,-12724.67,1000.00
