x,y,z
0.00,-9999.30,1000.00
0.00,-9948.89,1000.00
0.00,-9898.47,1000.00
0.00,-9848.06,1000.00
0.00,-9797.64,1000.00
0.00,-9747.23,1000.00
0.00,-9696.82,1000.00
0.00,-9646.40,1000.00
0.00,-9595.99,1000.00
0.00,-9545.57,1000.00
0.00,-9495.16,1000.00
0.00,-9444.75,1000.00
0.00,-9394.33,1000.00
0.00,-9343.92,1000.00
0.00,-9293.50,1000.00
0.00,-9243.09,1000.00
0.00,-9192.67,1000.00
0.00,-9142.26,1000.00
0.00,-9091.85,1000.00
0.00,-9041.43,1000.00
0.00,-8991.02,1000.00
0.00,-8940.60,1000.00
0.00,-8890.19,1000.00
0.00,-8839.78,1000.00
0.00,-8789.36,1000.00
0.00,-8738.95,1000.00
0.00,-8688.53,1000.00
0.00,-8638.12,1000.00
0.00,-8587.71,1000.00
0.00,-8537.29,1000.00
0.00,-8486.88,1000.00
0.00,-8436.46,1000.00
0.00,-8386.05,1000.00
0.00,-8335.64,1000.00
0.00,-8285.22,1000.00
0.00,-8234.81,1000.00
0.00,-8184.39,1000.00
0.00,-8133.98,1000.00
0.00,-8083.57,1000.00
0.00,-8033.15,1000.00
0.00,-7982.74,1000.00
0.00,-7932.32,1000.00
0.00,-7881.91,1000.00
0.00,-7831.50,1000.00
0.00,-7781.08,1000.00
0.00,-7730.67,1000.00
0.00,-7680.25,1000.00
0.00,-7629.84,1000.00
0.00,-7579.42,1000.00
0.00,-7529.01,1000.00
0.00,-7478.60,1000.00
0.00,-7428.18,1000.00
0.00,-7377.77,1000.00
0.00,-7327.35,1000.00
0.00,-7276.94,1000.00
0.00,-7226.53,1000.00
0.00,-7176.11,1000.00
0.00,-7125.70,1000.00
0.00,-7075.28,1000.00
0.00,-7024.87,1000.00
0.00,-6974.46,1000.00
0.00,-6924.04,1000.00
0.00,-6873.63,1000.00
0.00,-6823.21,1000.00
0.00,-6772.80,1000.00
0.00,-6722.39,1000.00
0.00,-6671.97,1000.00
0.00,-6621.56,1000.00
0.00,-6571.14,1000.00
0.00,-6520.73,1000.00
0.00,-6470.32,1000.00
0.00,-6419.90,1000.00
0.00,-6369.49,1000.00
0.00,-6319.07,1000.00
0.00,-6268.66,1000.00
0.00,-6218.25,1000.00
0.00,-6167.83,1000.00
0.00,-6117.42,1000.00
0.00,-6067.00,1000.00
0.00,-6016.59,1000.00
0.00,-5966.17,1000.00
0.00,-5915.76,1000.00
0.00,-5865.35,1000.00
0.00,-5814.93,1000.00
0.00,-5764.52,1000.00
0.00,-5714.10,1000.00
0.00,-5663.69,1000.00
0.00,-5613.28,1000.00
0.00,-5562.86,1000.00
0.00,-5512.45,1000.00
0.00,-5462.03,1000.00
0.00,-5411.62,1000.00
0.00,-5361.21,1000.00
0.00,-5310.79,1000.00
0.00,-5260.38,1000.00
0.00,-5209.96,1000.00
0.00,-5159.55,1000.00
0.00,-5109.14,1000.00
0.00,-5058.72,1000.00
0.00,-5008.31,1000.00
0.00,-4957.89,1000.00
0.00,-4907.48,1000.00
0.00,-4857.07,1000.00
0.00,-4806.65,1000.00
0.00,-4756.24,1000.00
0.00,-4705.82,1000.00
0.00,-4655.41,1000.00
0.00,-4605.00,1000.00
0.00,-4554.58,1000.00
0.00,-4504.17,1000.00
0.00,-4453.75,1000.00
0.00,-4403.34,1000.00
0.00,-4352.92,1000.00
0.00,-4302.51,1000.00
0.00,-4252.10,1000.00
0.00,-4201.68,1000.00
0.00,-4151.27,1000.00
0.00,-4100.85,1000.00
0.00,-4050.46,1000.00
0.00,-4000.06,1000.00
0.00,-3949.66,1000.00
0.00,-3899.27,1000.00
0.00,-3848.87,1000.00
0.00,-3798.47,1000.00
0.00,-3748.08,1000.00
0.00,-3697.68,1000.00
0.00,-3647.28,1000.00
0.00,-3596.89,1000.00
0.00,-3546.49,1000.00
0.00,-3496.10,1000.00
0.00,-3445.70,1000.00
0.00,-3395.30,1000.00
0.00,-3344.91,1000.00
0.00,-3294.51,1000.00
0.00,-3244.11,1000.00
0.00,-3193.72,1000.00
0.00,-3143.32,1000.00
0.00,-3092.92,1000.00
0.00,-3042.53,1000.00
0.00,-2992.13,1000.00
0.00,-2941.73,1000.00
0.00,-2891.34,1000.00
0.00,-2840.94,1000.00
0.00,-2790.54,1000.00
0.00,-2740.15,1000.00
0.00,-2689.75,1000.00
0.00,-2639.35,1000.00
0.00,-2588.96,1000.00
0.00,-2538.56,1000.00
0.00,-2488.17,1000.00
0.00,-2437.77,1000.00
0.00,-2387.37,1000.00
0.00,-2336.98,1000.00
0.00,-2286.58,1000.00
0.00,-2236.18,1000.00
0.00,-2185.79,1000.00
0.00,-2135.39,1000.00
0.00,-2084.99,1000.00
0.00,-2034.60,1000.00
0.00,-1984.20,1000.00
0.00,-1933.80,1000.00
0.00,-1883.41,1000.00
0.00,-1833.01,1000.00
0.00,-1782.61,1000.00
0.00,-1732.22,1000.00
0.00,-1681.82,1000.00
0.00,-1631.43,1000.00
0.00,-1581.03,1000.00
0.00,-1530.63,1000.00
0.00,-1480.24,1000.00
0.00,-1429.84,1000.00
0.00,-1379.44,1000.00
0.00,-1329.05,1000.00
0.00,-1278.65,1000.00
0.00,-1228.25,1000.00
0.00,-1177.86,1000.00
0.00,-1127.46,1000.00
0.00,-1077.06,1000.00
0.00,-1026.67,1000.00
0.00,-976.27,1000.00
0.00,-925.87,1000.00
0.00,-875.47,1000.00
0.00,-825.06,1000.00
0.00,-774.66,1000.00
0.00,-724.26,1000.00
0.00,-673.86,1000.00
0.00,-623.46,1000.00
0.00,-573.06,1000.00
0.00,-522.66,1000.00
0.00,-472.26,1000.00
0.00,-421.86,1000.00
0.00,-371.46,1000.00
0.00,-321.06,1000.00
0.00,-270.65,1000.00
0.00,-220.25,1000.00
0.00,-169.85,1000.00
0.00,-119.45,1000.00
0.00,-69.06,1000.00
