x,y,z
-799.40,3999.40,1000.00
-740.17,3938.67,1001.72
-680.93,3878.07,1005.83
-621.77,3817.49,1011.41
-562.68,3756.94,1017.86
-503.61,3696.42,1024.86
-444.57,3635.92,1032.17
-385.53,3575.43,1039.69
-326.51,3514.96,1047.32
-267.49,3454.48,1055.03
-208.47,3394.01,1062.78
-149.45,3333.54,1070.56
-90.44,3273.06,1078.36
-31.43,3212.59,1086.17
27.59,3152.12,1093.98
86.60,3091.64,1101.79
145.62,3031.17,1109.62
204.63,2970.69,1117.44
263.64,2910.22,1125.27
322.65,2849.75,1133.09
381.67,2789.27,1140.92
440.68,2728.80,1148.74
499.69,2668.33,1156.57
558.70,2607.85,1164.39
617.72,2547.38,1172.22
676.73,2486.91,1180.04
735.75,2426.43,1187.87
794.76,2365.96,1195.69
853.78,2305.48,1203.51
912.79,2245.01,1211.34
971.81,2184.54,1219.16
1030.82,2124.06,1226.99
1089.83,2063.59,1234.81
1148.84,2003.13,1242.64
1207.85,1942.66,1250.46
1266.86,1882.20,1258.29
1325.87,1821.74,1266.11
1384.88,1761.28,1273.94
1443.88,1700.82,1281.76
1502.89,1640.36,1289.59
1561.90,1579.90,1297.41
1620.91,1519.43,1305.24
1679.92,1458.97,1313.06
1738.93,1398.51,1320.89
1797.94,1338.05,1328.71
1856.95,1277.59,1336.53
1915.95,1217.13,1344.36
1974.96,1156.67,1352.18
2033.97,1096.20,1360.01
2092.98,1035.74,1367.83
2151.99,975.28,1375.66
2211.00,914.81,1383.48
2270.01,854.34,1391.31
2329.02,793.87,1399.13
2388.03,733.41,1406.96
2447.03,672.94,1414.78
2506.04,612.47,1422.61
2565.05,552.00,1430.43
2624.06,491.54,1438.26
2683.07,431.07,1446.08
2742.08,370.60,1453.91
2801.09,310.13,1461.73
2860.10,249.67,1469.55
2919.10,189.20,1477.38
2978.11,128.73,1485.20
3037.12,68.26,1493.03
3096.13,7.80,1500.85
3155.14,-52.67,1508.68
3214.15,-113.14,1516.50
3273.16,-173.61,1524.33
3332.17,-234.07,1532.15
3391.17,-294.54,1539.98
3450.18,-355.01,1547.80
3509.19,-415.48,1555.63
3568.20,-475.94,1563.45
3627.21,-536.41,1571.28
3686.22,-596.88,1579.10
3745.23,-657.35,1586.93
3804.24,-717.81,1594.75
3863.24,-778.28,1602.57
3922.25,-838.75,1610.40
3981.26,-899.22,1618.22
4040.27,-959.68,1626.05
4099.28,-1020.15,1633.87
4158.31,-1080.61,1641.70
4217.35,-1141.07,1649.52
4276.38,-1201.54,1657.35
4335.41,-1262.00,1665.17
4394.45,-1322.46,1673.00
4453.48,-1382.92,1680.82
4512.51,-1443.38,1688.65
4571.55,-1503.84,1696.47
4630.58,-1564.30,1704.30
4689.61,-1624.77,1712.12
4748.65,-1685.23,1719.95
4807.68,-1745.70,1727.77
4866.71,-1806.17,1735.59
4925.75,-1866.65,1743.42
4984.78,-1927.12,1751.24
5043.81,-1987.59,1759.07
5102.85,-2048.07,1766.89
5161.88,-2108.54,1774.72
5220.91,-2169.01,1782.54
5279.95,-2229.49,1790.37
5338.98,-2289.96,1798.19
5398.01,-2350.43,1806.02
5457.04,-2410.91,1813.84
5516.08,-2471.38,1821.67
5575.11,-2531.86,1829.49
5634.14,-2592.33,1837.32
5693.18,-2652.80,1845.14
5752.21,-2713.28,1852.97
5811.24,-2773.75,1860.79
5870.28,-2834.22,1868.61
5929.31,-2894.70,1876.44
5988.34,-2955.17,1884.26
6047.38,-3015.64,1892.09
6106.41,-3076.12,1899.91
6165.44,-3136.59,1907.74
6224.48,-3197.07,1915.56
6283.51,-3257.54,1923.39
6342.54,-3318.01,1931.21
6401.58,-3378.49,1939.04
6460.61,-3438.96,1946.86
6519.64,-3499.43,1954.69
6578.68,-3559.91,1962.51
6637.71,-3620.38,1970.34
6696.74,-3680.85,1978.16
6755.78,-3741.33,1985.99
6814.81,-3801.80,1993.81
6873.84,-3862.28,2001.63
6932.88,-3922.75,2009.46
6991.91,-3983.22,2017.28
7050.94,-4043.70,2025.11
7109.97,-4104.17,2032.93
7169.01,-4164.62,2040.76
7228.04,-4225.06,2048.58
7287.07,-4285.51,2056.42
7346.11,-4345.96,2064.26
7405.14,-4406.41,2072.09
7464.17,-4466.86,2079.93
7523.21,-4527.31,2087.77
7582.24,-4587.76,2095.61
